Job,Marial,Education,Default,Loan,Duration,Cons.pri ce.idx,Subscribe
housemaid,Married,basic.4y,no,no,261,93.994,no
services,Married,high.school,unknown,no,149,93.994,no
blue-collar,Divorced,basic.4y,unknown,no,1575,93.994,yes
admin.,Single,high.school,no,no,338,93.994,no
blue-collar,Single,basic.9y,no,no,179,93.994,no
services,Married,high.school,no,no,1030,93.994,yes
management,Married,high.school,unknown,no,149,,no
unemployed,,university.degree,unknown,no,424,93.994,no
technician,Married,professional.course,no,no,1623,93.994,yes
services,Divorced,high.school,unknown,no,568,93.994,no
blue-collar,Married,high.school,no,no,1297,93.994,yes
self- employed,Married,basic.9y,no,no,376,93.918,no
entrepreneur,Married,professional.course,no,yes,576,93.994,no
services,Single,high.school,no,no,1059,93.2,yes
technician,Married,basic.9y,no,no,705,93.2,yes
Retired,Married,high.school,no,no,532,93.2,no
